,month,M,YieldBruto,Net Hazard Rate AMI,ZSpread,SecurityID,y,RankID1,x
54,2016-12,5.0,1.92754,2.5605636363636366,1.83831,1260397,0.22590166343452744,5.0,4.0
55,2017-01,5.0,1.199035,1.87394,1.460667,1260306,0.17088300007542234,5.0,4.0
56,2017-01,5.0,1.767906,2.4009490909090907,1.750522,1260397,0.21344679352586837,5.0,6.0
57,2017-01,5.0,1.261928,1.9655236363636366,1.511038,1260462,0.1784416896117188,5.0,8.0
58,2017-01,5.0,2.629177,3.412772727272727,2.307025,1260546,0.28913822170568304,5.0,2.0
59,2017-01,5.0,3.75664,4.973047272727272,3.165176,1260603,0.39183236969186797,5.0,1.0
60,2017-02,5.0,1.110628,1.8355218181818183,1.439537,1260306,0.16769155676314507,5.0,4.0
61,2017-02,5.0,1.620695,2.1917636363636364,1.63547,1260397,0.19681994609317888,5.0,6.0
62,2017-02,5.0,1.136744,1.8604254545454544,1.453234,1260462,0.16976172863412786,5.0,8.0
63,2017-02,5.0,2.493947,3.1626000000000003,2.16943,1260546,0.27113008064934596,5.0,2.0
64,2017-02,5.0,3.635056,4.702661818181817,3.016464,1260603,0.3751640738178349,5.0,1.0
65,2017-03,5.0,3.407621,4.282776363636363,2.785527,1260603,0.3483695266331266,5.0,1.0
66,2017-03,5.0,2.262035,2.726163636363636,1.92939,1260546,0.2386151734868438,5.0,2.0
67,2017-03,5.0,1.079296,1.7471418181818181,1.390928,1260462,0.16030301285965953,5.0,8.0
68,2017-03,5.0,1.651853,2.233867272727273,1.658627,1260397,0.20019451711491254,5.0,6.0
69,2017-03,5.0,0.8139475,1.2833,1.135815,1260306,0.12043692456772681,5.0,4.0
70,2017-04,5.0,0.7426326,1.6007054545454547,1.310388,1260306,0.14791632378435382,5.0,4.0
71,2017-04,5.0,1.35918,2.103989090909091,1.587194,1260397,0.18973903896954036,5.0,6.0
72,2017-04,5.0,0.7952482,1.6818236363636363,1.355003,1260462,0.15480031305874964,5.0,8.0
73,2017-04,5.0,1.932287,2.4683727272727274,1.787605,1260546,0.2187321832310205,5.0,2.0
74,2017-04,5.0,3.081765,3.9798272727272717,2.618905,1260603,0.32832637080277216,5.0,1.0
75,2017-05,5.0,2.893152,3.8442345454545443,2.544329,1260603,0.31915693995984695,5.0,1.0
76,2017-05,5.0,1.813058,2.461085454545455,1.783597,1260546,0.21816264457166412,5.0,2.0
77,2017-05,5.0,0.8005803,1.8774890909090907,1.462619,1260462,0.17117720902431932,5.0,8.0
78,2017-05,5.0,1.266147,2.1377090909090906,1.60574,1260397,0.19246663761433347,5.0,6.0
79,2017-05,5.0,0.7573088,1.806798181818182,1.423739,1260306,0.1652974274976896,5.0,4.0
80,2017-06,5.0,1.080806,1.7006672727272727,1.365367,1260306,0.15639147697774447,5.0,4.0
81,2017-06,5.0,1.614148,2.2285618181818183,1.655709,1260397,0.19977007136752234,5.0,6.0
82,2017-06,5.0,1.053055,1.6503036363636363,1.337667,1260462,0.1521320406573361,5.0,8.0
83,2017-06,5.0,2.266819,2.8890763636363634,2.018992,1260546,0.2509186099113335,5.0,2.0
84,2017-06,5.0,3.180609,4.07588909090909,2.671739,1260603,0.3347476982087789,5.0,1.0
85,2017-07,5.0,1.09604,1.961330909090909,1.522482,1260306,0.17809716039750412,5.0,1.0
86,2017-07,5.0,1.440124,2.157332727272727,1.630283,1260397,0.1940497578829734,5.0,2.0
87,2017-07,5.0,0.9462843,1.6891345454545454,1.372774,1260462,0.15541800504422854,5.0,8.0
88,2017-07,5.0,1.949226,2.573718181818182,1.859295,1260546,0.2269192851456957,5.0,6.0
89,2017-07,5.0,3.011732,4.052787272727271,2.672783,1260603,0.3332090678630505,5.0,4.0
90,2017-08,5.0,0.7982616,1.196950909090909,1.088323,1260306,0.11280909194628519,5.0,4.0
91,2017-08,5.0,1.354299,2.0855945454545455,1.577077,1260397,0.18824722912420788,5.0,6.0
92,2017-08,5.0,0.7493833,1.1080836363636366,1.039446,1260462,0.10488973182931005,5.0,8.0
93,2017-08,5.0,1.781393,2.5532072727272723,1.834264,1260546,0.22533199904188828,5.0,2.0
94,2017-08,5.0,2.829489,4.0937672727272725,2.681572,1260603,0.3359359858317992,5.0,1.0
95,2017-09,5.0,1.133592,1.306347272727273,1.246391,1260462,0.12246174335194182,5.0,1.0
96,2017-09,5.0,1.344841,1.5809636363636363,1.39743,1260397,0.146232494137141,5.0,2.0
97,2017-09,5.0,1.80936,2.1419072727272725,1.705949,1260546,0.19280558364945544,5.0,8.0
98,2017-09,5.0,2.803844,3.6144727272727266,2.51586,1260603,0.3033326715246839,5.0,6.0
99,2017-09,5.0,1.043996,1.1434727272727272,1.15681,1260306,0.10805184717517191,5.0,4.0
100,2017-10,5.0,2.827051,3.592743636363635,2.549009,1260603,0.3018172308922039,5.0,4.0
101,2017-10,5.0,1.785657,2.1751145454545453,1.769313,1260546,0.19548161052541269,5.0,6.0
102,2017-10,5.0,1.296682,1.8456018181818183,1.588081,1260397,0.168530100976643,5.0,8.0
103,2017-10,5.0,0.8231863,1.4736963636363634,1.383533,1260462,0.13702506846113027,5.0,2.0
104,2017-10,5.0,0.9099584,1.6313963636363633,1.470268,1260306,0.15052743712712502,5.0,1.0
105,2017-11,5.0,2.438815,3.081321818181818,2.238577,1260603,0.26518181801392593,5.0,4.0
106,2017-11,5.0,1.502391,1.9386472727272726,1.610106,1260546,0.1762306697440943,5.0,6.0
107,2017-11,5.0,0.963775,2.219410909090909,1.764526,1260462,0.19903745307960474,5.0,8.0
108,2017-11,5.0,0.9908562,1.6771654545454544,1.466291,1260397,0.15440651196457122,5.0,2.0
109,2017-11,5.0,1.074998,2.4215927272727273,1.875726,1260306,0.21506885052958546,5.0,1.0
110,2017-12,5.0,0.7738879,1.99974,1.696507,1260306,0.18124795964570473,5.0,1.0
111,2017-12,5.0,0.6544603,1.7825981818181815,1.577079,1260462,0.16327500112333249,5.0,2.0
112,2017-12,5.0,0.913301,1.6806563636363634,1.521011,1260397,0.15470164944612774,5.0,8.0
113,2017-12,5.0,1.290687,1.7108018181818179,1.537591,1260546,0.1572460027853141,5.0,6.0
114,2017-12,5.0,2.294735,2.9806072727272728,2.235984,1260603,0.25774373681942797,5.0,4.0
115,2018-01,5.0,0.8695226,1.8261690909090909,1.468493,1260397,0.16691275723729881,5.0,6.0
116,2018-01,5.0,0.6441546,1.9454472727272722,1.534096,1260462,0.17679064247636178,5.0,8.0
117,2018-01,5.0,1.336522,2.07282,1.604151,1260546,0.18720958922947672,5.0,2.0
118,2018-01,5.0,2.098867,2.9496636363636366,2.086415,1260603,0.2554433687776878,5.0,4.0
119,2018-01,5.0,0.6345201,1.9279909090909089,1.524495,1260306,0.17535236329599613,5.0,1.0
120,2018-02,5.0,0.7119769,1.825330909090909,1.482332,1260397,0.16684292645281074,5.0,1.0
121,2018-02,5.0,-0.863492,0.0,0.4058432,1260462,0.0,5.0,4.0
122,2018-02,5.0,1.459739,2.2778163636363633,1.731199,1260546,0.20370187659412142,5.0,2.0
123,2018-02,5.0,2.611741,3.6909254545454537,2.508409,1260603,0.308638574867765,5.0,8.0
124,2018-02,5.0,-0.8426239,0.0,0.4266804,1260306,0.0,5.0,6.0
125,2018-03,5.0,-0.593837,0.5138978181818182,0.7126438,1260306,0.05009165863707543,5.0,6.0
126,2018-03,5.0,0.7830421,2.1082763636363637,1.589552,1260397,0.19008634548635273,5.0,8.0
127,2018-03,5.0,-0.7757948,0.18311799999999998,0.5307149,1260462,0.018145157714075655,5.0,2.0
128,2018-03,5.0,1.473123,2.4571981818181814,1.781459,1260546,0.21785866398982867,5.0,4.0
129,2018-03,5.0,2.544508,3.728052727272727,2.480429,1260603,0.31120065219593396,5.0,1.0
130,2018-04,5.0,2.564513,3.756885454545454,2.496287,1260603,0.31318378823513204,5.0,1.0
131,2018-04,5.0,1.58545,2.7199163636363632,1.925954,1260546,0.2381393670115145,5.0,4.0
132,2018-04,5.0,0.6288912,2.006621818181818,1.533642,1260397,0.18181121607982775,5.0,2.0
133,2018-05,5.0,2.628632,3.8617327272727264,2.553953,1260603,0.32034724980864837,5.0,8.0
134,2018-05,5.0,1.714069,2.8544763636363637,1.999962,1260546,0.2483222992743903,5.0,6.0
135,2018-05,5.0,0.8360077,2.0869690909090908,1.577833,1260397,0.18835880056417353,5.0,6.0
136,2018-06,5.0,0.8411379,2.081989090909091,1.575094,1260397,0.18795450258501334,5.0,8.0
137,2018-06,5.0,1.714275,2.7084290909090907,1.919636,1260546,0.23726369406597914,5.0,2.0
138,2018-06,5.0,2.586622,3.5694199999999996,2.393181,1260603,0.3001869142834803,5.0,4.0
139,2018-07,5.0,0.556565,1.6415818181818183,1.33287,1260397,0.15139222305814748,5.0,1.0
140,2018-07,5.0,1.583835,2.5605472727272724,1.838301,1260546,0.22590039672712214,5.0,1.0
141,2018-07,5.0,2.609925,3.7059018181818177,2.468246,1260603,0.3096732079330249,5.0,4.0
142,2018-08,5.0,0.2853909,1.3574309090909091,1.176587,1260397,0.12693309749679205,5.0,2.0
143,2018-08,5.0,1.184695,1.956538181818182,1.506096,1260546,0.1777031503704266,5.0,8.0
144,2018-08,5.0,2.253811,3.1483054545454543,2.161568,1260603,0.27008744921049777,5.0,6.0
145,2018-09,5.0,2.310883,3.115718181818181,2.143645,1260603,0.26770498347985117,5.0,6.0
146,2018-09,5.0,1.371908,2.090450909090909,1.579748,1260546,0.18864135008054783,5.0,8.0
147,2018-09,5.0,0.2405513,0.9365267272727273,0.9450897,1260397,0.08940101681711365,5.0,2.0
148,2018-10,5.0,2.728795,3.5444963636363633,2.422923,1260603,0.2984405502132531,5.0,4.0
149,2018-10,5.0,1.528006,2.0898236363636364,1.622853,1260546,0.18859045416897047,5.0,1.0
150,2018-10,5.0,0.5983753,1.3980763636363636,1.242392,1260397,0.1304745156039333,5.0,1.0
151,2018-11,5.0,1.012493,1.7194690909090908,1.375708,1260397,0.15797612420511997,5.0,4.0
152,2018-11,5.0,1.986299,2.597503636363636,1.858627,1260546,0.22875590765506093,5.0,2.0
153,2018-11,5.0,3.288853,4.29688909090909,2.793289,1260603,0.3492885063304302,5.0,8.0
154,2018-12,5.0,1.679883,3.1641399999999997,2.170277,1260397,0.27124231797443,5.0,6.0
155,2018-12,5.0,2.313417,3.3615509090909086,2.278853,1260546,0.2854877171370426,5.0,6.0
156,2018-12,5.0,3.968774,5.68148909090909,3.554819,1260603,0.4334267528068342,5.0,8.0
157,2019-01,5.0,1.061743,2.603801818181818,1.862091,1260397,0.22924149827408757,5.0,2.0
158,2019-01,5.0,3.247276,4.853796363636363,3.099588,1260603,0.3845364999179095,5.0,4.0
159,2019-01,5.0,1.571117,2.550250909090909,1.832638,1260546,0.22510294515439866,5.0,1.0
160,2019-02,5.0,0.2777833,1.208067272727273,1.094437,1260397,0.11379477765762147,5.0,1.0
161,2019-02,5.0,3.008252,5.001607272727272,3.180884,1260603,0.3935668184722164,5.0,4.0
162,2019-02,5.0,1.398969,2.6808690909090904,1.904478,1260546,0.2351586934483576,5.0,2.0
163,2019-03,5.0,-0.01091241,1.4416799999999999,1.222924,1260397,0.13425770886374533,5.0,8.0
164,2019-03,5.0,2.337857,4.195799999999999,2.73769,1260603,0.34267716256097724,5.0,6.0
165,2019-03,5.0,1.102341,2.5570036363636364,1.836352,1260546,0.22562603536782522,5.0,6.0
166,2019-04,5.0,-0.07446447,0.0,0.9553212,1260397,0.0,5.0,8.0
167,2019-04,5.0,2.105564,2.8087127272727264,2.523692,1260603,0.24487446552538727,5.0,2.0
168,2019-04,5.0,0.8611002,1.0928327272727272,1.579958,1260546,0.10352356579778887,5.0,4.0
169,2019-05,5.0,0.2404826,1.677190909090909,1.352455,1260397,0.1544086643816196,5.0,1.0
170,2019-05,5.0,2.225812,3.816614545454545,2.529138,1260603,0.3172738520807722,5.0,1.0
171,2019-05,5.0,1.051713,2.351150909090909,1.723133,1260546,0.2095201326533318,5.0,2.0
172,2019-06,5.0,0.4235277,1.3212636363636363,1.422895,1260397,0.12376973555914905,5.0,8.0
173,2019-06,5.0,2.026036,2.965154545454545,2.327035,1260603,0.2565958617977194,5.0,6.0
174,2019-06,5.0,0.9867558,1.6601363636363637,1.609275,1260546,0.1529653163623126,5.0,4.0
175,2019-07,5.0,0.7675704,1.9803781818181816,1.611608,1260546,0.17966117117178793,5.0,4.0
176,2019-07,5.0,1.475475,2.830330909090909,2.079082,1260603,0.2465051463825304,5.0,6.0
177,2019-07,5.0,0.4506113,1.7170072727272725,1.466754,1260397,0.1577688077186965,5.0,8.0
178,2019-08,5.0,0.8215475,1.9493854545454543,1.689162,1260546,0.17711477346027082,5.0,2.0
179,2019-08,5.0,1.337811,2.566396363636364,2.028518,1260603,0.22635304223120556,5.0,1.0
180,2019-08,5.0,0.4464936,1.4839981818181815,1.433199,1260397,0.13791363177567872,5.0,1.0
181,2019-09,5.0,0.4894233,1.9527999999999996,1.58049,1260397,0.17739570339612898,5.0,2.0
182,2019-09,5.0,0.4552533,1.6449181818181817,1.411155,1260546,0.15167530224561865,5.0,8.0
183,2019-09,5.0,1.187065,2.617758181818182,1.946217,1260603,0.23031644657372807,5.0,6.0
184,2019-10,5.0,0.6471705,2.035061818181818,1.727484,1260397,0.18413483922300034,5.0,4.0
185,2019-10,5.0,0.58418,1.7100963636363635,1.548753,1260546,0.1571865482244107,5.0,4.0
